asset_path,roles,source,sha256
audio/units/drone/canonical/2fbf4a064a3aa652__Drone_What3.ogg,move,SC2 game-data canonical recovery,2fbf4a064a3aa65282ffeb26b6f5496d56bdc7b7f5f6c6a15f90c2e9336a95ce
audio/units/drone/canonical/8115e959137017fc__Drone_What4.ogg,move,SC2 game-data canonical recovery,8115e959137017fc90964199d2d30f20ff125e0cb731e4643528714698a681b8
audio/units/drone/canonical/3204c9c67232be01__Drone_What5.ogg,move,SC2 game-data canonical recovery,3204c9c67232be01ca9989ea294cf51ed5803bbb6a488ce0b432a3936bb6fa3f
audio/units/drone/canonical/80230203b9457e25__Drone_What6.ogg,move,SC2 game-data canonical recovery,80230203b9457e25e2297aa9b28c767098218540e0b2ce0fcd6d9e4752e43f97
audio/units/drone/canonical/3a31d59a9eca8456__Drone_What7.ogg,move,SC2 game-data canonical recovery,3a31d59a9eca84566f0e91539baf907d025f3ffab783f1bd2ddb79bfa21a37a7
audio/units/drone/canonical/efd869b6a6593d2a__Drone_What8.ogg,move,SC2 game-data canonical recovery,efd869b6a6593d2af09356a808577df43dd0ef3bd5aa02d20602cd36e63279f7
audio/units/drone/canonical/c77dbcda3ec6d357__Drone_What9.ogg,move,SC2 game-data canonical recovery,c77dbcda3ec6d3576a84fb9b0b9a987efaaab185dd1cf2ab24cda11cf2c8f641
audio/units/ghost/canonical/5845b7ef20b00502__Ghost_Death00.wav,death,SC2 game-data canonical recovery,5845b7ef20b00502c405b5a0eb030c7c9b480298ff03c1b6dd7e79cd6c346003
audio/units/ghost/canonical/4e8c5600baf1e5b0__Ghost_Death01.wav,death,SC2 game-data canonical recovery,4e8c5600baf1e5b03cc8766104b66ec529df25664ef8efde71430db63e07e3ad
audio/units/ghost/canonical/fa82f6d7ab9713d0__Ghost_Ready00.ogg,move,SC2 game-data canonical recovery,fa82f6d7ab9713d0da2e8899fa33d6c16a2a8f3c2fa22ec9e90c90a9afec7856
audio/units/ghost/canonical/25e8dc624a5c740f__Ghost_What00.ogg,move,SC2 game-data canonical recovery,25e8dc624a5c740fcd5202173f10c672ecaeee13a4f0c958d5f1dcff25e10357
audio/units/ghost/canonical/8613e2f16d979e12__Ghost_What01.ogg,move,SC2 game-data canonical recovery,8613e2f16d979e1276e53d055251143f0bdbc42911a14175e82ec7239d675483
audio/units/ghost/canonical/75be73f625f7bcdc__Ghost_What02.ogg,move,SC2 game-data canonical recovery,75be73f625f7bcdc4e7e324016543f727ce6208f666c5d06b8a2ac134931d272
audio/units/ghost/canonical/60668dd7863acdd1__Ghost_What03.ogg,move,SC2 game-data canonical recovery,60668dd7863acdd1a9b6c0b5eb79ebb61ffeca573f22e2fc06252cd24fe48f7c
audio/units/ghost/canonical/83077a3a8c4f11ea__Ghost_What04.ogg,move,SC2 game-data canonical recovery,83077a3a8c4f11ea8d43efcb6f7fcff91b0ae7f7590d930cf8ecf9aa1484f41f
audio/units/ghost/canonical/d033cef54baf53f9__Ghost_What05.ogg,move,SC2 game-data canonical recovery,d033cef54baf53f9dfcc0db6586e75c0f18fd73b19a02520c757e1a913453058
audio/units/ghost/canonical/226edbfb31e41e1d__Ghost_Yes00.ogg,move,SC2 game-data canonical recovery,226edbfb31e41e1d3ddd88352357d67e9ecc1ab1e824a60e50a5261b10196db7
